zip,town_geoid,poppt,hupt,pct_zip_hh_in_town,pct_town_hh_in_zip,town
06387,0901559980,213,90,1,0.0144,Plainfield
06389,0901156270,41,19,1,0.001,Norwich
06401,0900901220,19237,8142,1,0.9993000000000001,Ansonia
06403,0900903250,6033,2504,1,0.998,Beacon Falls
06405,0900907310,27860,13910,1,0.9956,Branford
06409,0900726270,693,362,1,0.111,Essex
06410,0900914160,29145,10384,0.9995999999999999,0.9962000000000001,Cheshire
06410,0900962290,16,4,4e-4,0.0012,Prospect
06412,0900714300,3994,1923,1,1,Chester
06413,0900715350,13235,6049,1,0.9974,Clinton
06414,0900722490,214,71,1,0.0129,East Hampton
06415,0900722280,776,654,0.0956,0.1451,East Haddam
06415,0901115910,16068,6182,0.9037000000000001,1,Colchester
06415,0901166210,13,5,7.000000000000001e-4,0.0031,Salem
06416,0900718080,14005,6001,1,1,Cromwell
06417,0900719130,4629,2096,1,1,Deep River
06418,0900901220,12,6,0.001,7.000000000000001e-4,Ansonia
06418,0900919550,12902,5849,0.9990000000000001,1,Derby
06419,0900740710,6525,2598,1,1,Killingworth
06420,0900722280,44,18,0.0109,0.004,East Haddam
06420,0901166210,4138,1630,0.9891,0.9969,Salem
06422,0900720810,7388,2694,1,1,Durham
06423,0900722280,5097,2365,1,0.5246,East Haddam
06424,0900722490,12450,5280,0.966,0.9626,East Hampton
06424,0900735230,358,186,0.034,0.053099999999999994,Haddam
06426,0900726270,3245,1774,1,0.544,Essex
06437,0900934950,22375,9596,1,1,Guilford
06438,0900735230,2550,1146,1,0.3271,Haddam
06441,0900735230,5438,2172,1,0.6199,Haddam
06442,0900726270,2745,1125,1,0.345,Essex
06443,0900944560,18269,8049,1,1,Madison
06444,0900370550,370,134,1,0.0077,Southington
06447,0900345820,6404,2389,1,1,Marlborough
06450,0900946520,36493,15440,1,0.5963,Meriden
06451,0900370550,44,21,0.002,0.0012,Southington
06451,0900946520,24375,10452,0.998,0.40369999999999995,Meriden
06455,0900747080,3148,1320,1,0.7084999999999999,Middlefield
06456,0900722490,295,134,1,0.024399999999999998,East Hampton
06457,0900747360,47648,21223,1,1,Middletown
06460,0900947535,38207,17410,1,0.7545000000000001,Milford
06461,0900947535,14552,5664,1,0.2455,Milford
06467,0900370550,157,60,1,0.0034000000000000002,Southington
06468,0900148620,19479,6918,1,1,Monroe
06469,0900722280,3209,1471,1,0.32630000000000003,East Haddam
06470,0900152980,16003,5871,1,0.5835,Newtown
06471,0900907310,166,62,0.019299999999999998,0.0044,Branford
06471,0900953890,7554,3145,0.9806999999999999,0.5587,North Branford
06472,0900953890,6853,2484,1,0.4413,North Branford
06473,0900922910,285,91,0.0095,0.0073,East Haven
06473,0900954870,24093,9491,0.9901000000000001,1,North Haven
06473,0900978740,10,4,4e-4,2e-4,Wallingford
06475,0900757320,10242,5602,1,1,Old Saybrook
06477,0900957600,13956,5345,1,1,Orange
06478,0900958300,12683,4746,1,1,Oxford
06479,0900370550,10431,4248,1,0.24350000000000002,Southington
06480,0900761800,9508,4077,1,1,Portland
06481,0900747080,1277,543,1,0.2915,Middlefield
06482,0900152980,11557,4190,1,0.4165,Newtown
06483,0900967610,16540,6968,1,1,Seymour
06484,0900168170,39559,16146,1,1,Shelton
06488,0900969640,19904,9091,1,1,Southbury
06489,0900370550,32067,12984,1,0.7442,Southington
06492,0900914160,116,40,0.0021,0.0038,Cheshire
06492,0900978740,45125,18941,0.9979,0.9998,Wallingford
06498,0900715350,25,16,0.004,0.0026,Clinton
06498,0900781680,6938,3937,0.996,1,Westbrook
06510,0900952070,2737,1734,1,0.0315,New Haven
06511,0900935650,43,17,7.000000000000001e-4,7.000000000000001e-4,Hamden
06511,0900952070,53557,23536,0.9993000000000001,0.4282,New Haven
06512,0900922910,21986,9659,0.7353000000000001,0.7706999999999999,East Haven
06512,0900952070,7875,3477,0.2647,0.0633,New Haven
06513,0900922910,6986,2783,0.17559999999999998,0.22210000000000002,East Haven
06513,0900952070,31992,13063,0.8244,0.2377,New Haven
06514,0900935650,26265,10864,1,0.4326,Hamden
06515,0900952070,17141,6970,1,0.1268,New Haven
06516,0900982870,55564,22446,1,1,West Haven
06517,0900935650,14804,6768,0.9969,0.2695,Hamden
06517,0900952070,49,21,0.0031,4e-4,New Haven
06518,0900935650,19848,7465,1,0.29719999999999996,Hamden
06519,0900952070,16428,6166,1,0.11220000000000001,New Haven
06524,0900904580,5563,2044,1,1,Bethany
06525,0900987700,8990,3478,1,1,Woodbridge
06604,0900108070,30313,11945,1,0.2095,Bridgeport
06605,0900108070,23397,9618,1,0.16870000000000002,Bridgeport
06605,0900126620,0,0,0,0,Fairfield
06606,0900108070,46236,17623,1,0.3091,Bridgeport
06607,0900108070,7843,3309,1,0.057999999999999996,Bridgeport
06607,0900174190,0,0,0,0,Stratford
06608,0900108070,13671,5104,1,0.0895,Bridgeport
06610,0900108070,22735,9405,1,0.165,Bridgeport
06611,0900108070,34,8,6e-4,1e-4,Bridgeport
06611,0900123890,37,15,0.0011,0.0055000000000000005,Easton
06611,0900174190,2,2,2e-4,1e-4,Stratford
06611,0900177200,36018,13157,0.9981,1,Trumbull
06612,0900123890,7453,2700,1,0.9945,Easton
06614,0900174190,32929,13418,1,0.6362,Stratford
06615,0900174190,18453,7671,1,0.36369999999999997,Stratford
06702,0900980070,3654,2046,1,0.0426,Waterbury
06704,0900980070,25139,10778,1,0.22460000000000002,Waterbury
06705,0900980070,27122,11721,1,0.24420000000000003,Waterbury
06706,0900980070,14324,5961,1,0.1242,Waterbury
06708,0900580490,76,24,0.0019,0.0026,Watertown
06708,0900980070,29342,12887,0.9981,0.2685,Waterbury
06710,0900980070,10715,4567,1,0.09519999999999999,Waterbury
06712,0900962290,9376,3465,1,0.9974,Prospect
06716,0900980070,0,0,0,0,Waterbury
06716,0900987560,16680,6276,1,1,Wolcott
06750,0900543370,1445,731,0.9878,0.1839,Litchfield
06750,0900549460,1,9,0.012199999999999999,0.0068000000000000005,Morris
06751,0900504930,3577,1564,1,0.993,Bethlehem
06752,0900508210,1727,881,0.9965999999999999,1,Bridgewater
06752,0900565930,8,3,0.0034000000000000002,0.0026,Roxbury
06754,0900517240,500,328,0.3604,0.3257,Cornwall
06754,0900540290,35,20,0.022000000000000002,0.012,Kent
06754,0900567960,42,38,0.0418,0.021400000000000002,Sharon
06754,0900579510,1122,524,0.5758,0.6461,Warren
06755,0900552630,1133,470,1,0.0401,New Milford
06756,0900532290,2853,1602,1,0.9627,Goshen
06757,0900540290,2258,1211,1,0.7273000000000001,Kent
06758,0900549460,354,152,1,0.1157,Morris
06759,0900517240,60,58,0.021,0.0576,Cornwall
06759,0900532290,49,24,0.0087,0.0144,Goshen
06759,0900543370,5531,2648,0.9573,0.6662,Litchfield
06759,0900576570,72,31,0.011200000000000002,0.0018,Torrington
06759,0900579510,8,5,0.0018,0.0062,Warren
06762,0900946940,7561,2887,1,0.9983,Middlebury
06763,0900549460,2033,1153,1,0.8775,Morris
06770,0900903250,16,5,4e-4,0.002,Beacon Falls
06770,0900946940,14,5,4e-4,0.0017000000000000001,Middlebury
06770,0900949950,31862,13061,0.9965,1,Naugatuck
06770,0900962290,13,5,4e-4,0.0014000000000000002,Prospect
06770,0900980070,70,31,0.0024,6e-4,Waterbury
06776,0900168310,4,2,2e-4,0.0011,Sherman
06776,0900552630,26875,11192,0.9995,0.9541,New Milford
06776,0900579720,10,4,4e-4,0.0019,Washington
06777,0900543370,0,3,0.0027,8e-4,Litchfield
06777,0900579510,331,282,0.2585,0.3477,Warren
06777,0900579720,1402,806,0.7387999999999999,0.3795,Washington
06778,0900543370,1378,547,1,0.1376,Litchfield
06779,0900580490,8324,3531,1,0.3882,Watertown
06782,0900560750,2376,940,1,0.184,Plymouth
06783,0900565930,2228,1152,1,0.9871,Roxbury
06784,0900168310,3577,1829,0.9708,0.9989,Sherman
06784,0900552630,112,55,0.0292,0.004699999999999999,New Milford
06785,0900540290,686,434,1,0.2607,Kent
06786,0900560750,9867,4169,1,0.816,Plymouth
06787,0900543370,88,33,0.01,0.0083,Litchfield
06787,0900575730,7887,3276,0.99,1,Thomaston
06790,0900576570,36311,16730,0.9947,0.9982,Torrington
06790,0900586440,171,89,0.0053,0.0159,Winchester
06791,0900537280,5642,2282,0.9943000000000001,1,Harwinton
06791,0900543370,24,13,0.005699999999999999,0.0033,Litchfield
06793,0900565930,17,7,0.01,0.006,Roxbury
06793,0900579720,1123,694,0.99,0.3267,Washington
06794,0900552630,22,14,0.022099999999999998,0.0012,New Milford
06794,0900579720,1043,620,0.9779000000000001,0.2919,Washington
06795,0900504930,30,11,0.002,0.006999999999999999,Bethlehem
06795,0900580490,14114,5541,0.998,0.6092,Watertown
06796,0900517240,796,593,0.7917000000000001,0.5889,Cornwall
06796,0900566420,8,7,0.009300000000000001,0.0027,Salisbury
06796,0900567960,205,149,0.1989,0.0839,Sharon
06798,0900565930,9,5,0.0011,0.0043,Roxbury
06798,0900587910,9975,4564,0.9989,1,Woodbury
06801,0900104720,18559,7299,0.9990000000000001,0.9984999999999999,Bethel
06801,0900108980,22,7,0.001,0.0011,Brookfield
06804,0900108980,16430,6555,0.9979,0.9989,Brookfield
06804,0900118500,36,14,0.0021,4e-4,Danbury
06807,0900133620,7150,2866,1,0.1118,Greenwich
06810,0900104720,25,11,6e-4,0.0015,Bethel
06810,0900118500,49457,19177,0.9994,0.6156,Danbury
06811,0900118500,31400,11963,1,0.384,Danbury
06812,0900150860,13881,5593,1,1,New Fairfield
06820,0900118850,20732,7074,1,1,Darien
06824,0900126620,33900,12108,1,0.5593,Fairfield
06825,0900126620,21123,7780,1,0.3594,Fairfield
06830,0900133620,24027,10997,1,0.4291,Greenwich
06831,0900133620,14601,6139,0.9875,0.2395,Greenwich
06831,0900173070,191,78,0.0125,0.0015,Stamford
06840,0900150580,19738,7551,1,1,New Canaan
06850,0900156060,18078,7537,1,0.21280000000000002,Norwalk
06851,0900156060,26703,11198,1,0.31620000000000004,Norwalk
06853,0900156060,3646,1554,1,0.043899999999999995,Norwalk
06854,0900156060,29100,11566,1,0.32659999999999995,Norwalk
06855,0900156060,7892,3453,1,0.0975,Norwalk
06856,0900156060,3,0,0,0,Norwalk
06870,0900133620,7316,2802,1,0.1093,Greenwich
06877,0900163480,39,15,0.0016,0.0039000000000000003,Redding
06877,0900163970,24638,9420,0.9984000000000001,1,Ridgefield
06878,0900133620,8043,2818,1,0.1099,Greenwich
06880,0900126620,75,29,0.0028000000000000004,0.0013,Fairfield
06880,0900156060,181,107,0.0102,0.003,Norwalk
06880,0900183500,26391,10399,0.9871,1,Westport
06883,0900183430,10179,3674,1,1,Weston
06890,0900126620,4306,1731,1,0.08,Fairfield
06896,0900163480,9110,3793,1,0.9953,Redding
06897,0900163480,9,3,5e-4,8e-4,Redding
06897,0900186370,18062,6475,0.9995,1,Wilton
06901,0900173070,6828,4396,1,0.08689999999999999,Stamford
06902,0900133620,34,9,4e-4,4e-4,Greenwich
06902,0900173070,63372,25264,0.9995999999999999,0.4996,Stamford
06903,0900173070,14499,5275,1,0.1043,Stamford
06905,0900173070,19649,8097,1,0.16010000000000002,Stamford
06906,0900173070,9088,3740,1,0.07400000000000001,Stamford
06907,0900173070,9016,3723,1,0.0736,Stamford
