type,GEOID,month,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Census Tract,09011990100,01/2022,0,0,0,NA
Census Tract,09011990100,02/2022,0,0,0,NA
Census Tract,09011990100,03/2022,0,0,0,NA
Census Tract,09011990100,04/2022,0,0,0,NA
Census Tract,09011990100,05/2022,0,0,0,NA
Census Tract,09011990100,06/2022,0,0,0,NA
Census Tract,09011990100,07/2022,0,0,0,NA
Census Tract,09011990100,08/2022,0,0,0,NA
Census Tract,09011990100,09/2022,0,0,0,NA
Census Tract,09011990100,10/2022,0,0,0,NA
Census Tract,09011990100,11/2022,0,0,0,NA
Census Tract,09011990100,12/2022,0,0,0,NA
Census Tract,09011990100,01/2023,0,0,0,NA
Census Tract,09011990100,02/2023,0,0,0,NA
Census Tract,09011990100,03/2023,0,0,0,NA
Census Tract,09011990100,04/2023,0,0,0,NA
Census Tract,09011990100,05/2023,0,0,0,NA
Census Tract,09011990100,06/2023,0,0,0,NA
Census Tract,09011990100,07/2023,0,0,0,NA
Census Tract,09011990100,08/2023,0,0,0,NA
Census Tract,09011990100,09/2023,0,0,0,NA
Census Tract,09011990100,10/2023,0,0,0,NA
Census Tract,09011990100,11/2023,0,0,0,NA
Census Tract,09011990100,12/2023,0,0,0,NA
Census Tract,09011990100,01/2024,0,0,0,NA
Census Tract,09011990100,02/2024,0,0,0,NA
Census Tract,09011990100,03/2024,0,0,0,NA
Census Tract,09011990100,04/2024,0,0,0,NA
Census Tract,09011990100,05/2024,0,0,0,NA
Census Tract,09011990100,06/2024,0,0,0,NA
Census Tract,09011990100,07/2024,0,0,0,NA
Census Tract,09011990100,08/2024,0,0,0,NA
Census Tract,09011990100,09/2024,0,0,0,NA
Census Tract,09011990100,10/2024,0,0,0,NA
Census Tract,09011990100,11/2024,0,0,0,NA
Census Tract,09011990100,12/2024,0,0,0,NA
Census Tract,09011990100,01/2025,0,0,0,NA
Census Tract,09011990100,02/2025,0,0,0,NA
Census Tract,09011990100,03/2025,0,0,0,NA
Census Tract,09011990100,04/2025,0,0,0,NA
Census Tract,09011990100,05/2025,0,0,0,NA
Census Tract,09011990100,06/2025,0,0,0,NA
Census Tract,09011990100,07/2025,0,0,0,NA
Census Tract,09011990100,08/2025,0,0,0,NA
Census Tract,09011990100,09/2025,0,0,0,NA
Census Tract,09011990100,10/2025,0,0,0,NA
Census Tract,09011990100,11/2025,0,0,0,NA
Census Tract,09011990100,12/2025,0,0,0,NA
Census Tract,09011990100,01/2026,0,0,,NA
Census Tract,09011990100,02/2026,0,0,,NA
Census Tract,09011990100,03/2026,0,0,,NA
Census Tract,09011990100,04/2026,0,0,,NA
Census Tract,09011990100,05/2026,0,0,,NA
Census Tract,09011990100,06/2026,0,0,,13/06/2026
Census Tract,09013526101,01/2020,1,0.5,0,NA
Census Tract,09013526101,02/2020,0,0.5,0,NA
Census Tract,09013526101,03/2020,0,1,0.667,NA
Census Tract,09013526101,04/2020,0,1,0.333,NA
Census Tract,09013526101,05/2020,0,1,0.667,NA
Census Tract,09013526101,06/2020,0,0.5,0.333,NA
Census Tract,09013526101,07/2020,0,0,1.667,NA
Census Tract,09013526101,08/2020,1,1,0.333,NA
Census Tract,09013526101,09/2020,0,0,0,NA
Census Tract,09013526101,10/2020,0,0,0,NA
Census Tract,09013526101,11/2020,0,0,0.667,NA
Census Tract,09013526101,12/2020,0,0,0,NA
Census Tract,09013526101,01/2021,0,0.5,0,NA
Census Tract,09013526101,02/2021,0,0.5,0,NA
Census Tract,09013526101,03/2021,0,1,0.667,NA
Census Tract,09013526101,04/2021,0,1,0.333,NA
