type,GEOID,month,filings_2020,filings_avg,filings_avg_prepandemic_baseline,last_updated
Census Tract,09001010101,01/2020,0,0.5,0,NA
Census Tract,09001010101,02/2020,0,0,0.667,NA
Census Tract,09001010101,03/2020,0,0.5,0.667,NA
Census Tract,09001010101,04/2020,0,1,0,NA
Census Tract,09001010101,05/2020,0,0.5,0,NA
Census Tract,09001010101,06/2020,0,0,0.333,NA
Census Tract,09001010101,07/2020,1,0,0.333,NA
Census Tract,09001010101,08/2020,1,0.5,0,NA
Census Tract,09001010101,09/2020,0,0,0.667,NA
Census Tract,09001010101,10/2020,0,0,0.667,NA
Census Tract,09001010101,11/2020,0,1,0.333,NA
Census Tract,09001010101,12/2020,0,0.5,0,NA
Census Tract,09001010101,01/2021,0,0.5,0,NA
Census Tract,09001010101,02/2021,1,0,0.667,NA
Census Tract,09001010101,03/2021,0,0.5,0.667,NA
Census Tract,09001010101,04/2021,0,1,0,NA
Census Tract,09001010101,05/2021,0,0.5,0,NA
Census Tract,09001010101,06/2021,1,0,0.333,NA
Census Tract,09001010101,07/2021,0,0,0.333,NA
Census Tract,09001010101,08/2021,0,0.5,0,NA
Census Tract,09001010101,09/2021,3,0,0.667,NA
Census Tract,09001010101,10/2021,0,0,0.667,NA
Census Tract,09001010101,11/2021,1,1,0.333,NA
Census Tract,09001010101,12/2021,1,0.5,0,NA
Census Tract,09001010101,01/2022,0,0.5,0,NA
Census Tract,09001010101,02/2022,0,0,0.667,NA
Census Tract,09001010101,03/2022,0,0.5,0.667,NA
Census Tract,09001010101,04/2022,0,1,0,NA
Census Tract,09001010101,05/2022,0,0.5,0,NA
Census Tract,09001010101,06/2022,0,0,0.333,NA
Census Tract,09001010101,07/2022,0,0,0.333,NA
Census Tract,09001010101,08/2022,0,0.5,0,NA
Census Tract,09001010101,09/2022,0,0,0.667,NA
Census Tract,09001010101,10/2022,1,0,0.667,NA
Census Tract,09001010101,11/2022,0,1,0.333,NA
Census Tract,09001010101,12/2022,0,0.5,0,NA
Census Tract,09001010101,01/2023,0,0.5,0,NA
Census Tract,09001010101,02/2023,0,0,0.667,NA
Census Tract,09001010101,03/2023,2,0.5,0.667,NA
Census Tract,09001010101,04/2023,1,1,0,NA
Census Tract,09001010101,05/2023,0,0.5,0,NA
Census Tract,09001010101,06/2023,0,0,0.333,NA
Census Tract,09001010101,07/2023,0,0,0.333,NA
Census Tract,09001010101,08/2023,1,0.5,0,NA
Census Tract,09001010101,09/2023,0,0,0.667,NA
Census Tract,09001010101,10/2023,0,0,0.667,NA
Census Tract,09001010101,11/2023,1,1,0.333,NA
Census Tract,09001010101,12/2023,1,0.5,0,NA
Census Tract,09001010101,01/2024,1,0.5,0,NA
Census Tract,09001010101,02/2024,0,0,0.667,NA
Census Tract,09001010101,03/2024,0,0.5,0.667,NA
Census Tract,09001010101,04/2024,0,1,0,NA
Census Tract,09001010101,05/2024,0,0.5,0,NA
Census Tract,09001010101,06/2024,0,0,0.333,NA
Census Tract,09001010101,07/2024,0,0,0.333,NA
Census Tract,09001010101,08/2024,0,0.5,0,NA
Census Tract,09001010101,09/2024,0,0,0.667,NA
Census Tract,09001010101,10/2024,0,0,0.667,NA
Census Tract,09001010101,11/2024,1,1,0.333,NA
Census Tract,09001010101,12/2024,0,0.5,0,NA
Census Tract,09001010101,01/2025,0,0.5,0,NA
Census Tract,09001010101,02/2025,0,0,0.667,NA
Census Tract,09001010101,03/2025,0,0.5,0.667,NA
Census Tract,09001010101,04/2025,0,1,0,NA
Census Tract,09001010101,05/2025,1,0.5,0,NA
Census Tract,09001010101,06/2025,1,0,0.333,NA
Census Tract,09001010101,07/2025,0,0,0.333,NA
Census Tract,09001010101,08/2025,0,0.5,0,NA
Census Tract,09001010101,09/2025,0,0,0.667,NA
Census Tract,09001010101,10/2025,1,0,0.667,NA
Census Tract,09001010101,11/2025,2,1,0.333,NA
Census Tract,09001010101,12/2025,1,0.5,0,NA
Census Tract,09001010101,01/2026,0,0.5,,NA
Census Tract,09001010101,02/2026,0,0,,NA
Census Tract,09001010101,03/2026,0,0.5,,NA
Census Tract,09001010101,04/2026,0,1,,NA
Census Tract,09001010101,05/2026,1,0.5,,NA
Census Tract,09001010101,06/2026,0,0,,13/06/2026
Census Tract,09001010102,01/2020,0,0,0,NA
Census Tract,09001010102,02/2020,0,0,0,NA
Census Tract,09001010102,03/2020,0,0,0,NA
Census Tract,09001010102,04/2020,0,0,0.333,NA
Census Tract,09001010102,05/2020,0,0,0.333,NA
Census Tract,09001010102,06/2020,0,0,0,NA
Census Tract,09001010102,07/2020,0,0,0,NA
Census Tract,09001010102,08/2020,0,0,0.333,NA
Census Tract,09001010102,09/2020,0,0,0.333,NA
Census Tract,09001010102,10/2020,0,0,0,NA
Census Tract,09001010102,11/2020,0,0,0,NA
Census Tract,09001010102,12/2020,0,0,0,NA
Census Tract,09001010102,01/2021,0,0,0,NA
Census Tract,09001010102,02/2021,0,0,0,NA
Census Tract,09001010102,03/2021,0,0,0,NA
Census Tract,09001010102,04/2021,2,0,0.333,NA
Census Tract,09001010102,05/2021,0,0,0.333,NA
Census Tract,09001010102,06/2021,0,0,0,NA
Census Tract,09001010102,07/2021,0,0,0,NA
Census Tract,09001010102,08/2021,1,0,0.333,NA
Census Tract,09001010102,09/2021,1,0,0.333,NA
Census Tract,09001010102,10/2021,0,0,0,NA
Census Tract,09001010102,11/2021,0,0,0,NA
Census Tract,09001010102,12/2021,1,0,0,NA
Census Tract,09001010102,01/2022,0,0,0,NA
Census Tract,09001010102,02/2022,2,0,0,NA
Census Tract,09001010102,03/2022,0,0,0,NA
Census Tract,09001010102,04/2022,0,0,0.333,NA
Census Tract,09001010102,05/2022,2,0,0.333,NA
Census Tract,09001010102,06/2022,1,0,0,NA
Census Tract,09001010102,07/2022,1,0,0,NA
Census Tract,09001010102,08/2022,1,0,0.333,NA
Census Tract,09001010102,09/2022,0,0,0.333,NA
Census Tract,09001010102,10/2022,1,0,0,NA
Census Tract,09001010102,11/2022,0,0,0,NA
Census Tract,09001010102,12/2022,0,0,0,NA
Census Tract,09001010102,01/2023,0,0,0,NA
Census Tract,09001010102,02/2023,0,0,0,NA
Census Tract,09001010102,03/2023,0,0,0,NA
Census Tract,09001010102,04/2023,0,0,0.333,NA
Census Tract,09001010102,05/2023,0,0,0.333,NA
Census Tract,09001010102,06/2023,0,0,0,NA
Census Tract,09001010102,07/2023,0,0,0,NA
Census Tract,09001010102,08/2023,0,0,0.333,NA
Census Tract,09001010102,09/2023,0,0,0.333,NA
Census Tract,09001010102,10/2023,0,0,0,NA
Census Tract,09001010102,11/2023,0,0,0,NA
Census Tract,09001010102,12/2023,0,0,0,NA
Census Tract,09001010102,01/2024,0,0,0,NA
Census Tract,09001010102,02/2024,0,0,0,NA
Census Tract,09001010102,03/2024,0,0,0,NA
Census Tract,09001010102,04/2024,0,0,0.333,NA
Census Tract,09001010102,05/2024,0,0,0.333,NA
Census Tract,09001010102,06/2024,0,0,0,NA
Census Tract,09001010102,07/2024,0,0,0,NA
Census Tract,09001010102,08/2024,1,0,0.333,NA
Census Tract,09001010102,09/2024,0,0,0.333,NA
Census Tract,09001010102,10/2024,0,0,0,NA
Census Tract,09001010102,11/2024,0,0,0,NA
Census Tract,09001010102,12/2024,0,0,0,NA
Census Tract,09001010102,01/2025,0,0,0,NA
Census Tract,09001010102,02/2025,0,0,0,NA
Census Tract,09001010102,03/2025,0,0,0,NA
Census Tract,09001010102,04/2025,0,0,0.333,NA
Census Tract,09001010102,05/2025,0,0,0.333,NA
Census Tract,09001010102,06/2025,0,0,0,NA
Census Tract,09001010102,07/2025,0,0,0,NA
Census Tract,09001010102,08/2025,1,0,0.333,NA
Census Tract,09001010102,09/2025,0,0,0.333,NA
Census Tract,09001010102,10/2025,0,0,0,NA
Census Tract,09001010102,11/2025,0,0,0,NA
Census Tract,09001010102,12/2025,0,0,0,NA
Census Tract,09001010102,01/2026,0,0,,NA
Census Tract,09001010102,02/2026,0,0,,NA
Census Tract,09001010102,03/2026,0,0,,NA
Census Tract,09001010102,04/2026,0,0,,NA
Census Tract,09001010102,05/2026,0,0,,NA
Census Tract,09001010102,06/2026,0,0,,13/06/2026
Census Tract,09001010201,01/2020,0,0,0,NA
Census Tract,09001010201,02/2020,0,0,0,NA
Census Tract,09001010201,03/2020,0,0,0,NA
Census Tract,09001010201,04/2020,0,0,0,NA
Census Tract,09001010201,05/2020,0,0,0,NA
Census Tract,09001010201,06/2020,0,0,0.667,NA
Census Tract,09001010201,07/2020,0,0,0,NA
Census Tract,09001010201,08/2020,0,0,0.333,NA
Census Tract,09001010201,09/2020,1,0,0,NA
Census Tract,09001010201,10/2020,0,0,0,NA
Census Tract,09001010201,11/2020,0,0,0,NA
Census Tract,09001010201,12/2020,0,0,0.667,NA
Census Tract,09001010201,01/2021,0,0,0,NA
Census Tract,09001010201,02/2021,0,0,0,NA
Census Tract,09001010201,03/2021,1,0,0,NA
Census Tract,09001010201,04/2021,0,0,0,NA
Census Tract,09001010201,05/2021,0,0,0,NA
Census Tract,09001010201,06/2021,0,0,0.667,NA
Census Tract,09001010201,07/2021,0,0,0,NA
Census Tract,09001010201,08/2021,0,0,0.333,NA
Census Tract,09001010201,09/2021,0,0,0,NA
Census Tract,09001010201,10/2021,0,0,0,NA
Census Tract,09001010201,11/2021,0,0,0,NA
Census Tract,09001010201,12/2021,0,0,0.667,NA
Census Tract,09001010201,01/2022,0,0,0,NA
Census Tract,09001010201,02/2022,0,0,0,NA
Census Tract,09001010201,03/2022,1,0,0,NA
Census Tract,09001010201,04/2022,0,0,0,NA
Census Tract,09001010201,05/2022,0,0,0,NA
Census Tract,09001010201,06/2022,0,0,0.667,NA
Census Tract,09001010201,07/2022,0,0,0,NA
Census Tract,09001010201,08/2022,0,0,0.333,NA
Census Tract,09001010201,09/2022,1,0,0,NA
Census Tract,09001010201,10/2022,0,0,0,NA
Census Tract,09001010201,11/2022,0,0,0,NA
Census Tract,09001010201,12/2022,0,0,0.667,NA
Census Tract,09001010201,01/2023,0,0,0,NA
Census Tract,09001010201,02/2023,0,0,0,NA
Census Tract,09001010201,03/2023,0,0,0,NA
Census Tract,09001010201,04/2023,0,0,0,NA
Census Tract,09001010201,05/2023,0,0,0,NA
Census Tract,09001010201,06/2023,0,0,0.667,NA
Census Tract,09001010201,07/2023,0,0,0,NA
Census Tract,09001010201,08/2023,0,0,0.333,NA
Census Tract,09001010201,09/2023,0,0,0,NA
Census Tract,09001010201,10/2023,0,0,0,NA
Census Tract,09001010201,11/2023,0,0,0,NA
Census Tract,09001010201,12/2023,0,0,0.667,NA
Census Tract,09001010201,01/2024,0,0,0,NA
Census Tract,09001010201,02/2024,0,0,0,NA
Census Tract,09001010201,03/2024,1,0,0,NA
Census Tract,09001010201,04/2024,0,0,0,NA
Census Tract,09001010201,05/2024,0,0,0,NA
